STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,,,,,,
FLORIDA,Lake Placid Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Lantana Police Department,Municipality,#N/A,Task Force Model,2025-04-15 00:00:00,link pending,,,,,,
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Jail Enforcement Model,2025-03-03 00:00:00,link,,,,,,
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Task Force Model,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Leon County Sheriff's Office,County,Leon County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Leon County Sheriff's Office,County,Leon County ,Task Force Model,2025-02-26 00:00:00,link pending,,,,,,
FLORIDA,Levy County Sheriff's Office,County,Levy County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Levy County Sheriff's Office,County,Levy County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Liberty County Sheriff's Office,County,Liberty County ,Warrant Service Officer,2019-09-09 00:00:00,link,,,,,,
FLORIDA,Liberty County Sheriff's Office,County,Liberty County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Lighthouse Point Police Department,Municipality,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
FLORIDA,Live Oak Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Longboat Key Police Department,Municipality,#N/A,Task Force Model,2025-04-23 00:00:00,link pending ,,,,,,
FLORIDA,Longwood Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Lynn Haven Police Department,Municipality,#N/A,Task Force Model,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Madison County Sheriff's Office,County,Madison County ,Warrant Service Officer,2019-09-09 00:00:00,link,,,,,,
FLORIDA,Madison County Sheriff's Office,County,Madison County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Manatee County Sheriff's Office,County,Manatee County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Manatee County Sheriff's Office,County,Manatee County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Marco Island Police Department,Municipality,#N/A,Task Force Model,2025-04-24 00:00:00,link pending,,,,,,
FLORIDA,Marianna Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Marion County Sheriff's Office,County,Marion County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Marion County Sheriff's Office,County,Marion County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Martin County Sheriff's Office,County,Martin County ,Warrant Service Officer,2020-01-22 00:00:00,link,,,,,,
FLORIDA,Martin County Sheriff's Office,County,Martin County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Melbourne Beach Police Department,Municipality,#N/A,Task Force Model,2025-05-13 00:00:00,link pending ,,,,,,
FLORIDA,Melbourne International Airport Police Department,Municipality,#N/A,Task Force Model,2025-04-25 00:00:00,link pending ,,,,,,
FLORIDA,Miami Dade Corrections and Rehabilitation,County,Miami-Dade County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Miami Dade Sheriff's Office,County,Miami-Dade County,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Monroe County Sheriff's Office,County,Monroe County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Monroe County Sheriff's Office,County,Monroe County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Naples Police Department,Municipality,#N/A,Task Force Model,2025-03-03 00:00:00,link,,,,,,
FLORIDA,Nassau County Sheriff's Office,County,Nassau County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Nassau County Sheriff's Office,County,Nassau County ,Task Force Model,2025-02-26 00:00:00,link pending,,,,,,
FLORIDA,New College of Florida Police Department,Municipality,#N/A,Task Force Model,2025-04-15 00:00:00,link pending,,,,,,
FLORIDA,New Port Richey Police Department,Municipality,#N/A,Task Force Model,2025-05-13 00:00:00,link pending,,,,,,
FLORIDA,New Smyrna Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-24 00:00:00,link pending,,,,,,
FLORIDA,North Bay Village Police Department,Municipality,#N/A,Task Force Model,2025-05-08 00:00:00,link pending ,,,,,,
FLORIDA,Northwest Florida State College Police Department,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link pending,,,,,,
FLORIDA,Oakland Police Department,Municipality,#N/A,Task Force Model,2025-04-23 00:00:00,link pending,,,,,,
FLORIDA,Ocean Ridge Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Ocoee Police Department,Municipality,#N/A,Task Force Model,2025-05-13 00:00:00,link pending,,,,,,
FLORIDA,Okaloosa County Sheriff's Office,County,Okaloosa County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Okaloosa County Sheriff's Office,County,Okaloosa County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Okeechobee County Sheriff's Office,County,Okeechobee County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Okeechobee County Sheriff's Office,County,Okeechobee County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Okeechobee Police Department,County,#N/A,Task Force Model,2025-03-17 00:00:00,link,,,,,,
FLORIDA,Orange City Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Orange County Corrections Department,County,Orange County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Orange County Sheriff's Office,County,Orange County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Orlando Police Department,Municipality,#N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
