STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,,,,,,
TEXAS,Calhoun County Sheriff's Office,County,Calhoun County ,Task Force Model,2025-03-07 00:00:00,link,,,,,,
TEXAS,Calhoun County Sheriff's Office,County,Calhoun County ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
TEXAS,Chambers County Sheriff’s Office,County,Chambers County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
TEXAS,Coke County Sheriff's Office,County,Coke County,Task Force Model,2025-05-13 00:00:00,link pending,,,,,,
TEXAS,Deaf Smith County Sheriff's Office,County,Deaf Smith County,Warrant Service Officer,2025-03-17 00:00:00,link,,,,,,
TEXAS,DeWitt County Sheriff’s Office,County,DeWitt County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
TEXAS,DeWitt County Sheriff’s Office,County,DeWitt County,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
TEXAS,Ellis County Sheriff's Office,County,Ellis County,Jail Enforcement Model,2025-04-16 00:00:00,link,,,,,,
TEXAS,Falls County Sheriff's Office,County,Falls County,Task Force Model,2025-03-25 00:00:00,link,,,,,,
TEXAS,Fayette County Sheriff's Office,County,Fayette County ,Warrant Service Officer,2025-03-21 00:00:00,link,,,,,,
TEXAS,Galveston County Sheriff’s Office,County,Galveston County,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
TEXAS,Galveston County Sheriff's Office,County,Galveston County,Warrant Service Officer,2025-03-27 00:00:00,link pending,,,,,,
TEXAS,Goliad County Sheriff’s Office,County,Goliad County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
TEXAS,Goliad County Sheriff's Office,County,Goliad County ,Task Force Model,2025-02-18 00:00:00,link,,,,,,
TEXAS,Goliad County Sheriff's Office,County,Goliad County ,Warrant Service Officer,2025-02-18 00:00:00,link,,,,,,
TEXAS,Gonzales County Sheriff's Office,County,Gonzales County,Warrant Service Officer,2025-04-02 00:00:00,link,,,,,,
TEXAS,Grayson County Sheriff’s Office,County,Grayson County,Jail Enforcement Model,2025-03-21 00:00:00,link pending,,,,,,
TEXAS,Gregg County Sheriff's Office,County,Gregg County,Jail Enforcement Model,2025-03-17 00:00:00,link,,,,,,
TEXAS,Hamilton County Sheriff's Office ,County,Hamilton County,Task Force Model,2025-04-10 00:00:00,link,,,,,,
TEXAS,Harrison County Sheriff's Office,County,Harrison County ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
TEXAS,Hill County Sheriff's Office,County,Hill County,Warrant Service Officer,2025-05-07 00:00:00,link pending,,,,,,
TEXAS,Houston County Sheriff's Office,County,Houston County,Warrant Service Officer,2025-04-02 00:00:00,link,,,,,,
TEXAS,Jackson County Sheriff's Office,County,Jackson County ,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
TEXAS,Jackson County Sheriff's Office ,County,Jackson County  ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County,Task Force Model,2025-03-25 00:00:00,link,,,,,,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County ,Jail Enforcement Model,2025-02-27 00:00:00,link pending,,,,,,
TEXAS,Kendall County Sheriff's Office,County,Kendall County ,Warrant Service Officer,2020-12-23 00:00:00,link,,,,,,
TEXAS,Kerr County Sheriff's Office,County,Kerr County,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
TEXAS,Kerr County Sheriff's Office,County,Kerr County,Warrant Service Officer,2025-05-06 00:00:00,link pending,,,,,,
TEXAS,Kerr County Sheriff's Office,County,Kerr County,Jail Enforcement Model,2025-05-06 00:00:00,link pending,,,,,,
TEXAS,Kinney County Sheriff's Office,County,Kinney County,Task Force Model,2025-03-26 00:00:00,link,,,,,,
TEXAS,Kleberg County Sheriff's Office,County,Kleberg County ,Jail Enforcement Model,2020-07-31 00:00:00,link,,,,,,
TEXAS,Lavaca County Sheriff’s Office,County,Lavaca County,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
TEXAS,Lavaca County Sheriff's Office,County,Lavaca County ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
TEXAS,Live Oak County Sheriff's Office ,County,Live Oak County,Warrant Service Officer,2025-04-16 00:00:00,link,,,,,,
TEXAS,Lubbock County Sheriff's Office,County,Lubbock County ,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
TEXAS,Matagorda County Sheriff's Office,County,Matagorda County ,Jail Enforcement Model,2020-03-13 00:00:00,link,,,,,,
TEXAS,McMullen County Sheriff's Office,County,McMullen County ,Warrant Service Officer,2025-02-27 00:00:00,link,,,,,,
TEXAS,Medina County Sheriff's Office,County,Medina County,Task Force Model,2025-03-26 00:00:00,link,,,,,,
TEXAS,Montgomery County Sheriff’s Office,County,Montgomery County,Jail Enforcement Model,2020-06-09 00:00:00,link | addendum,,,,,,
TEXAS,Nixon Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
TEXAS,Nixon Police Department,Municipality,#N/A,Warrant Service Officer,2025-02-28 00:00:00,link,,,,,,
TEXAS,Nueces County Sheriff's Office,County,Nueces County ,Jail Enforcement Model,2020-06-09 00:00:00,link | addendum,,,,,,
TEXAS,Orange County Sheriff's Office,County,Orange County,Warrant Service Officer,2025-05-07 00:00:00,link pending,,,,,,
TEXAS,Panola County Sheriff's Office,County,Panola County,Task Force Model,2025-04-02 00:00:00,link,,,,,,
TEXAS,Panola County Sheriff's Office,County,Panola County,Warrant Service Officer,2025-03-27 00:00:00,link pending,,,,,,
TEXAS,Parker County Sheriff's Office,County,Parker County ,Warrant Service Officer,2025-02-27 00:00:00,link,,,,,,
TEXAS,Polk County Sheriff's Office,County,Polk County,Warrant Service Officer,2025-05-07 00:00:00,link pending,,,,,,
TEXAS,Potter County Sheriff's Office,County,Potter County ,Jail Enforcement Model,2020-03-02 00:00:00,link,,,,,,
TEXAS,Randall County Sheriff's Office,County,Randall County ,Jail Enforcement Model,2025-02-28 00:00:00,link pending,,,,,,
TEXAS,Refugio County Sheriff’s Office,County,Refugio County,Warrant Service Officer,2025-03-07 00:00:00,link,,,,,,
TEXAS,Refugio County Sheriff’s Office,County,Refugio County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
TEXAS,Rockwall County Sheriff's Office,County,Rockwall County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
TEXAS,Rusk County Sheriff's Office ,County,Rusk County  ,Warrant Service Officer,2025-03-05 00:00:00,link,,,,,,
TEXAS,San Patricio County Sheriff’s Office,County,San Patricio County,Jail Enforcement Model,2020-09-03 00:00:00,link,,,,,,
TEXAS,Schleicher County Sheriff's Office,County,Schleicher County,Warrant Service Officer,2025-04-02 00:00:00,link,,,,,,
TEXAS,Smith County Sheriff’s Office,County,Smith County,Task Force Model,2025-02-18 00:00:00,link,,,,,,
TEXAS,Smith County Sheriff’s Office,County,Smith County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
TEXAS,Sutton County Sheriff's Office,County,Sutton County ,Task Force Model,2025-03-10 00:00:00,link,,,,,,
TEXAS,Sutton County Sheriff's Office,County,Sutton County ,Warrant Service Officer,2025-03-10 00:00:00,link,,,,,,
TEXAS,Tarrant County Sheriff’s Office,County,Tarrant County,Jail Enforcement Model,2020-06-16 00:00:00,link,,,,,,
TEXAS,Terrell County Sheriff's Office,County,Terrell County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
TEXAS,Terrell County Sheriff's Office,County,Terrell County,Warrant Service Officer,2025-04-16 00:00:00,link,,,,,,
TEXAS,Texas National Guard,State Agency,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
TEXAS,Texas Office of the Attorney General,State Agency,#N/A,Task Force Model,2025-01-30 00:00:00,link,,,,,,
TEXAS,Titus County Sheriff's Office,County,Titus County ,Task Force Model,2025-03-10 00:00:00,link,,,,,,
TEXAS,Titus County Sheriff's Office,County,Titus County ,Warrant Service Officer,2025-03-10 00:00:00,link,,,,,,
TEXAS,Victoria County Sheriff’s Office,County,Victoria County,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
TEXAS,Victoria County Sheriff’s Office,County,Victoria County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
TEXAS,Walker County Sheriff’s Department,County,Walker County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
TEXAS,Walker County Sheriff's Office,County,Walker County,Warrant Service Officer,2025-04-02 00:00:00,link,,,,,,
TEXAS,Waller County Sheriff’s Office,County,Waller County,Warrant Service Officer,2020-02-12 00:00:00,link,,,,,,
TEXAS,Wharton County Sheriff’s Office,County,Wharton County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
TEXAS,Wharton County Sheriff's Office,County,Wharton County,Warrant Service Officer,2025-04-02 00:00:00,link,,,,,,
TEXAS,Wichita County Sheriff's Office,County,Wichita County,Warrant Service Officer,2025-04-16 00:00:00,link pending,,,,,,
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Jail Enforcement Model,2025-03-21 00:00:00,link pending ,,,,,,
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Task Force Model,2025-04-14 00:00:00,link,,,,,,
UTAH,Utah Department of Corrections,State Agency,#N/A,Warrant Service Officer,2025-05-12 00:00:00,link pending,,,,,,
UTAH,Washington County Sheriff's Office,County,Washington County,Jail Enforcement Model,2025-03-21 00:00:00,link pending ,,,,,,
UTAH,Washington County Sheriff's Office,County,Washington County,Task Force Model,2025-03-21 00:00:00,link,,,,,,
VIRGINIA,Appomattox County Sheriff's Office,County,Appomattox County,Task Force Model,2025-05-13 00:00:00,link pending,,,,,,
VIRGINIA,Bedford County Sheriff's Office,County,Bedford County ,Task Force Model,2025-03-07 00:00:00,link,,,,,,
VIRGINIA,Campbell County Sheriff's Office,County,Campbell County,Task Force Model,05/082025,link pending,,,,,,
VIRGINIA,Franklin County Sheriff's Office,County,Franklin County,Task Force Model,2025-04-23 00:00:00,link pending,,,,,,
VIRGINIA,Grayson County Sheriff's Office,County,Grayson County,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
VIRGINIA,Greene County Sheriff's Office,County,Greene County,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
VIRGINIA,Loudoun County Sheriff's Office,County,Loudoun County,Warrant Service Officer,2025-03-27 00:00:00,link,,,,,,
VIRGINIA,Mecklenburg County Sheriff's Office,County,Mecklenburg County,Task Force Model,2025-05-13 00:00:00,link pending,,,,,,
VIRGINIA,Shenandoah County Sheriff's Office,County,Shenandoah County ,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
VIRGINIA,Smyth County Sheriff's Office ,County,Smyth County,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
VIRGINIA,Southwest Virginia Regional Jail Authority,State Agency,#N/A,Warrant Service Officer,2025-05-08 00:00:00,link pending,,,,,,
VIRGINIA,Virginia Department of Corrections,State Agency,#N/A,Jail Enforcement Model,2025-02-28 00:00:00,link,,,,,,
VIRGINIA,Virginia Department of State Police,State Agency,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
WEST VIRGINIA,Wood County Sheriff's Office,County,Wood County,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
WISCONSIN,Brown County Sheriff's Office,County,Brown County ,Warrant Service Officer,2020-10-16 00:00:00,link,,,,,,
WISCONSIN,Fond du Lac County Sheriff's Office,County,Fond du Lac County ,Warrant Service Officer,2020-06-05 00:00:00,link,,,,,,
WISCONSIN,Manitowoc County Sheriff's Office,County,Manitowoc County ,Warrant Service Officer,2020-06-05 00:00:00,link,,,,,,
WISCONSIN,Marquette County Sheriff's Office,County,Marquette County ,Warrant Service Officer,2020-05-21 00:00:00,link,,,,,,
WISCONSIN,Outagamie County Sheriff's Office,County,Outagamie County,Warrant Service Officer,2025-05-08 00:00:00,link pending,,,,,,
WISCONSIN,Sheboygan County Sheriff's Office,County,Sheboygan County ,Warrant Service Officer,2020-02-27 00:00:00,link,,,,,,
WISCONSIN,Washington County Sheriff's Office,County,Washington County ,Warrant Service Officer,2025-03-03 00:00:00,link,,,,,,
WISCONSIN,Waukesha County Sheriff's Office,County,Waukesha County ,Jail Enforcement Model,2020-06-10 00:00:00,link,,,,,,
WISCONSIN,Waupaca County Sheriff's Office,County,Waupaca County,Warrant Service Officer,2025-04-02 00:00:00,link,,,,,,
WISCONSIN,Waushara County Sheriff's Office,County,Waushara County ,Warrant Service Officer,2020-06-08 00:00:00,link,,,,,,
WISCONSIN,Winnebago County Sheriff's Office,County,Winnebago County ,Warrant Service Officer,2025-03-03 00:00:00,link,,,,,,
WISCONSIN,Wood County Sheriff's Office,County,Wood County,Warrant Service Officer,2025-03-17 00:00:00,link,,,,,,
WYOMING,Campbell County Sheriff's Office,County,Campbell County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
WYOMING,Natrona County Sheriff's Office,County,Natrona County,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
WYOMING,Sweetwater County Sheriff's Office,County,Sweetwater County ,Warrant Service Officer,2020-03-13 00:00:00,link,,,,,,
WYOMING,Sweetwater County Sheriff's Office,County,Sweetwater County ,Jail Enforcement Model,2025-03-07 00:00:00,link,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
